"","Date","Time","Buck","MarkedDoe","UnmarkedDoe","Doe_UnknownifMarked","Fawn","UnknownSex","Unknown_UnknownifMarked","UnknownAgeGroup","Comments","TotalAdult","TotalFawn","Location","ICDoe_2019","ControlCollar_Colour","ControlCollar_Tag","ICCollar_Colour","EarTagNumber_2019","EarTagNumber_2020","EarTagColour_2019","EarTagColour2020","ICDoe_2020","Multi_Marked_Comments","TotalMarked","WHID_all","df_year","datetime","year","SiteID"
"73","10-Oct-19","19:09:17",0,0,1,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 19:09:17,2010,"Site03"
"74","10-Oct-19","19:09:18",0,0,1,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 19:09:18,2010,"Site03"
"75","10-Oct-19","19:09:35",0,0,1,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 19:09:35,2010,"Site03"
"76","10-Oct-19","19:09:36",0,0,1,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 19:09:36,2010,"Site03"
"77","10-Oct-19","19:09:37",0,0,1,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 19:09:37,2010,"Site03"
"78","10-Oct-19","22:36:02",1,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 22:36:02,2010,"Site03"
"79","10-Oct-19","22:36:03",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 22:36:03,2010,"Site03"
"80","10-Oct-19","22:36:04",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 22:36:04,2010,"Site03"
"81","11-Oct-19","15:44:43",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-11 15:44:43,2011,"Site03"
"82","11-Oct-19","15:44:44",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-11 15:44:44,2011,"Site03"
"83","12-Oct-19","4:37:54",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 04:37:54,2012,"Site03"
"84","12-Oct-19","4:37:55",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 04:37:55,2012,"Site03"
"85","12-Oct-19","4:37:56",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 04:37:56,2012,"Site03"
"86","12-Oct-19","4:38:11",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 04:38:11,2012,"Site03"
"87","12-Oct-19","4:38:12",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 04:38:12,2012,"Site03"
"88","12-Oct-19","4:38:13",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 04:38:13,2012,"Site03"
"89","12-Oct-19","13:59:07",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 13:59:07,2012,"Site03"
"90","12-Oct-19","13:59:08",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 13:59:08,2012,"Site03"
"91","12-Oct-19","13:59:09",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 13:59:09,2012,"Site03"
"92","12-Oct-19","16:38:09",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 16:38:09,2012,"Site03"
"93","12-Oct-19","16:38:10",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 16:38:10,2012,"Site03"
"94","12-Oct-19","16:38:11",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 16:38:11,2012,"Site03"
"95","12-Oct-19","16:48:12",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 16:48:12,2012,"Site03"
"96","12-Oct-19","16:48:12",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 16:48:12,2012,"Site03"
"97","12-Oct-19","16:48:13",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-12 16:48:13,2012,"Site03"
