camera_id,xcor,ycor,tick,deer_id,sex,number-deer,run_num
382,221.35943621178654,142.30249470757707,14998,158,male,360,18
390,347.85054261852173,15.811388300841896,14998,314,female,360,18
390,347.85054261852173,15.811388300841896,14999,314,female,360,18
382,221.35943621178654,142.30249470757707,14999,158,male,360,18
382,221.35943621178654,142.30249470757707,15000,158,male,360,18
390,347.85054261852173,15.811388300841896,15000,314,female,360,18
390,347.85054261852173,15.811388300841896,15001,314,female,360,18
382,221.35943621178654,142.30249470757707,15001,158,male,360,18
390,347.85054261852173,15.811388300841896,15002,314,female,360,18
382,221.35943621178654,142.30249470757707,15002,158,male,360,18
382,221.35943621178654,142.30249470757707,15003,158,male,360,18
390,347.85054261852173,15.811388300841896,15003,314,female,360,18
390,347.85054261852173,15.811388300841896,15004,314,female,360,18
382,221.35943621178654,142.30249470757707,15004,158,male,360,18
390,347.85054261852173,15.811388300841896,15005,314,female,360,18
382,221.35943621178654,142.30249470757707,15005,158,male,360,18
390,347.85054261852173,15.811388300841896,15006,314,female,360,18
382,221.35943621178654,142.30249470757707,15006,158,male,360,18
382,221.35943621178654,142.30249470757707,15007,158,male,360,18
390,347.85054261852173,15.811388300841896,15007,314,female,360,18
382,221.35943621178654,142.30249470757707,15008,158,male,360,18
382,221.35943621178654,142.30249470757707,15009,158,male,360,18
392,347.85054261852173,79.05694150420948,15050,185,female,360,18
392,347.85054261852173,79.05694150420948,15051,185,female,360,18
392,347.85054261852173,79.05694150420948,15052,185,female,360,18
390,347.85054261852173,15.811388300841896,15066,332,female,360,18
390,347.85054261852173,15.811388300841896,15067,332,female,360,18
390,347.85054261852173,15.811388300841896,15068,332,female,360,18
369,94.86832980505137,110.67971810589327,15070,266,female,360,18
369,94.86832980505137,110.67971810589327,15071,266,female,360,18
369,94.86832980505137,110.67971810589327,15072,266,female,360,18
369,94.86832980505137,110.67971810589327,15073,266,female,360,18
369,94.86832980505137,110.67971810589327,15074,266,female,360,18
369,94.86832980505137,110.67971810589327,15075,266,female,360,18
369,94.86832980505137,110.67971810589327,15076,266,female,360,18
369,94.86832980505137,110.67971810589327,15077,266,female,360,18
369,94.86832980505137,110.67971810589327,15078,266,female,360,18
369,94.86832980505137,110.67971810589327,15079,266,female,360,18
369,94.86832980505137,110.67971810589327,15080,266,female,360,18
369,94.86832980505137,110.67971810589327,15081,266,female,360,18
369,94.86832980505137,110.67971810589327,15082,266,female,360,18
369,94.86832980505137,110.67971810589327,15083,266,female,360,18
369,94.86832980505137,110.67971810589327,15084,266,female,360,18
376,158.11388300841895,142.30249470757707,15123,236,male,360,18
376,158.11388300841895,142.30249470757707,15124,236,male,360,18
376,158.11388300841895,142.30249470757707,15125,236,male,360,18
376,158.11388300841895,142.30249470757707,15126,236,male,360,18
376,158.11388300841895,142.30249470757707,15127,236,male,360,18
376,158.11388300841895,142.30249470757707,15128,236,male,360,18
376,158.11388300841895,142.30249470757707,15129,236,male,360,18
376,158.11388300841895,142.30249470757707,15130,236,male,360,18
376,158.11388300841895,142.30249470757707,15131,236,male,360,18
376,158.11388300841895,142.30249470757707,15132,236,male,360,18
376,158.11388300841895,142.30249470757707,15133,236,male,360,18
376,158.11388300841895,142.30249470757707,15134,236,male,360,18
376,158.11388300841895,142.30249470757707,15135,236,male,360,18
376,158.11388300841895,142.30249470757707,15136,236,male,360,18
381,221.35943621178654,110.67971810589327,15140,282,female,360,18
381,221.35943621178654,110.67971810589327,15141,282,female,360,18
381,221.35943621178654,110.67971810589327,15142,282,female,360,18
381,221.35943621178654,110.67971810589327,15143,282,female,360,18
381,221.35943621178654,110.67971810589327,15144,282,female,360,18
381,221.35943621178654,110.67971810589327,15145,282,female,360,18
363,31.622776601683793,110.67971810589327,15146,297,female,360,18
363,31.622776601683793,110.67971810589327,15147,297,female,360,18
363,31.622776601683793,110.67971810589327,15148,297,female,360,18
363,31.622776601683793,110.67971810589327,15149,297,female,360,18
363,31.622776601683793,110.67971810589327,15150,297,female,360,18
363,31.622776601683793,110.67971810589327,15151,297,female,360,18
363,31.622776601683793,110.67971810589327,15152,297,female,360,18
363,31.622776601683793,110.67971810589327,15153,297,female,360,18
363,31.622776601683793,110.67971810589327,15154,297,female,360,18
363,31.622776601683793,110.67971810589327,15155,297,female,360,18
363,31.622776601683793,110.67971810589327,15156,297,female,360,18
363,31.622776601683793,110.67971810589327,15157,297,female,360,18
363,31.622776601683793,110.67971810589327,15158,297,female,360,18
363,31.622776601683793,110.67971810589327,15165,159,male,360,18
363,31.622776601683793,110.67971810589327,15166,159,male,360,18
363,31.622776601683793,110.67971810589327,15167,159,male,360,18
363,31.622776601683793,110.67971810589327,15168,159,male,360,18
363,31.622776601683793,110.67971810589327,15169,159,male,360,18
363,31.622776601683793,110.67971810589327,15170,159,male,360,18
363,31.622776601683793,110.67971810589327,15171,159,male,360,18
363,31.622776601683793,110.67971810589327,15172,159,male,360,18
363,31.622776601683793,110.67971810589327,15173,159,male,360,18
363,31.622776601683793,110.67971810589327,15174,159,male,360,18
363,31.622776601683793,110.67971810589327,15175,159,male,360,18
363,31.622776601683793,110.67971810589327,15176,159,male,360,18
363,31.622776601683793,110.67971810589327,15177,159,male,360,18
393,347.85054261852173,110.67971810589327,15222,267,male,360,18
393,347.85054261852173,110.67971810589327,15251,267,male,360,18
393,347.85054261852173,110.67971810589327,15252,267,male,360,18
393,347.85054261852173,110.67971810589327,15253,267,male,360,18
364,31.622776601683793,142.30249470757707,15253,321,male,360,18
364,31.622776601683793,142.30249470757707,15254,321,male,360,18
393,347.85054261852173,110.67971810589327,15254,267,male,360,18
364,31.622776601683793,142.30249470757707,15255,321,male,360,18
393,347.85054261852173,110.67971810589327,15255,267,male,360,18
393,347.85054261852173,110.67971810589327,15256,267,male,360,18
364,31.622776601683793,142.30249470757707,15256,321,male,360,18
